
 Lista de Imóveis da Caixa;;Data de geração:;17/10/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555510697016 ;RJ ;ARARUAMA ;XV DE NOVEMBRO ;RUA MANCIO MARINHO DE CARVALHO, N. 70, LT 4A ;266.152,00;412.000,00;35.40;Casa, 0.00 de área total, 237.00 de área privativa, 465.00 de área do terreno,  4 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555510697016
 1444415254194 ;RJ ;ARARUAMA ;NOSSA SENHORA DE NAZARETH ;RUA JOAO RAMALHO, N. 108, LT 06 QD A ;193.800,00;300.000,00;35.40;Casa, 0.00 de área total, 221.39 de área privativa, 540.00 de área do terreno,  3 qto(s), WC, 1 sala(s), DCE, cozinha, Terraco, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415254194
 1444406847900 ;RJ ;ARARUAMA ;BOA PERNA ;RUA MASCARENHAS DE MORAIS, N. 305, Apto 104, LT 14 QD C ;106.590,00;165.000,00;35.40;Apartamento, 0.00 de área total, 59.28 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444406847900
 1444416166337 ;RJ ;ARARUAMA ;BOA PERNA ;RUA LUIZ SERGIO, N. 193, CS 103 ;153.102,00;237.000,00;35.40;Casa, 0.00 de área total, 72.40 de área privativa, 135.89 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444416166337
 1444408535868 ;RJ ;ARARUAMA ;RIO DO LIMAO ;RUA OSVALDO CAMPOS, N. 373, UNID111 LT41A ;118.864,00;184.000,00;35.40;Casa, 0.00 de área total, 71.00 de área privativa, 74.36 de área do terreno,  2 qto(s), WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408535868
 1444417161592 ;RJ ;ARARUAMA ;VILA CAPRI ;RUA PANDIA CALOGERA, N. 1071, CS 103 ;157.624,00;244.000,00;35.40;Casa, 55.08 de área total, 55.08 de área privativa, 496.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417161592
 1444417596297 ;RJ ;ARARUAMA ;VILA CAPRI ;RUA PANDIA CALOGERA N 1071 101 K20LOT FAZENDA DA P, N. 101 ;161.500,00;250.000,00;35.40;Casa, 0.00 de área total, 59.45 de área privativa, 61.05 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417596297
 1444402625865 ;RJ ;ARARUAMA ;COQUEIRAL ;RUA N SRA DE FATIMA, N. 113, CS 105, QD 67,  TERRENO 1649 ;101.422,00;157.000,00;35.40;Casa, 0.00 de área total, 80.32 de área privativa, 116.58 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444402625865
 1444404414527 ;RJ ;ARARUAMA ;PARATY ;RUA MARCONI, N. 106, Apto 103, LT 07 QD 02 ;130.492,00;202.000,00;35.40;Apartamento, 0.00 de área total, 72.80 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404414527
 1444407552041 ;RJ ;ARARUAMA ;PARATY ;ESTRADA ANTONIO GONCALVES JARDIM, N. 838, CS 101 ;125.001,00;193.500,00;35.40;Casa, 0.00 de área total, 63.91 de área privativa, 1.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444407552041
 1444419538090 ;RJ ;ARARUAMA ;PARATY ;RUA PARANA, N. 15, Apto 0, LT 16 QD 16 ;232.560,00;360.000,00;35.40;Casa, 0.00 de área total, 166.77 de área privativa, 450.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444419538090
 1444405378346 ;RJ ;ARARUAMA ;NOVO HORIZONTE (IGUABINHA) ;RUA R INDAIA, N. 255, N. 255, LOTE Nº 31 DA QUADRA Nº 29 ;128.050,00;197.000,00;35.00;Casa, 102.51 de área total, 102.51 de área privativa, 600.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444405378346
 1444415872351 ;RJ ;ARARUAMA ;OUTEIRO ;ESTRADA OUTEIRO, N. 442, CS 8 ;125.450,00;193.000,00;35.00;Casa, 0.00 de área total, 60.70 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415872351
 1444417556201 ;RJ ;ARARUAMA ;VILA CAPRI ;RUA PANDIA CALOGERAS, N. 1071, Apto 202, . ;130.000,00;200.000,00;35.00;Apartamento, 0.00 de área total, 54.87 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417556201
 1555506481080 ;RJ ;ARARUAMA ;COQUEIRAL ;RUA CAXAMBU, N. 16 ;218.400,00;336.000,00;35.00;Casa, 0.00 de área total, 157.01 de área privativa, 525.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555506481080
 1444415707849 ;RJ ;ARARUAMA ;RIO DO LIMAO ;RUA EDGAR, N. 27, 102 ;119.938,20;174.000,00;31.07;Casa, 0.00 de área total, 75.43 de área privativa, 118.62 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444415707849
